Number,Name,Type,Total,Hp,Attack,Defense,Sp_atk,Sp_def,Speed,Generation,Legendary,Mythical,Kanto?,Johto?,Kalos?,Galar?,Alola (US/UM)?,Alola (S/M)?,Unova (B2/W2)?,Hoenn?,Sinnoh?,Paldea?,Galar (TCT)?,Unova (B/W)?,Abilities,Tier,Next Evolution(s),Moves
76,Golem-Alola,"Rock, Electric",495,80,120,130,55,65,45,1,No,No,,,,,,,,,,,,,"['Galvanize', 'Magnet Pull', 'Sturdy']",PU,[],"['Heavy Slam', 'Tackle', 'Defense Curl', 'Charge', 'Rock Polish', 'Charge', 'Rock Polish', 'Steamroller', 'Spark', 'Rock Throw', 'Smack Down', 'Thunder Punch', ""Self'Destruct"", 'Stealth Rock', 'Rock Blast', 'Discharge', 'Explosion', ""Double'Edge"", 'Stone Edge', 'Heavy Slam', 'Rollout', 'Mud Sport', 'Mud Sport', 'Magnitude', 'Bulldoze', 'Earthquake', 'Autotomize', 'Block', 'Curse', 'Endure', 'Flail', 'Focus Punch', 'Hammer Arm', 'Mega Punch', 'Rock Climb', 'Wide Guard', 'Roar', 'Toxic', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Frustration', 'Smack Down', 'Thunderbolt', 'Thunder', 'Earthquake', 'Return', 'Brick Break', 'Double Team', 'Flamethrower', 'Sandstorm', 'Fire Blast', 'Rock Tomb', 'Facade', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Focus Blast', 'Fling', 'Charge Beam', 'Brutal Swing', 'Explosion', 'Giga Impact', 'Rock Polish', 'Stone Edge', 'Volt Switch', 'Gyro Ball', 'Bulldoze', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Nature Power', 'Confide']"
77,Ponyta,Fire,410,50,85,55,65,65,90,1,No,No,True,True,,True,,,,,True,,True,,"['Flame Body', 'Flash Fire', 'Run Away']",LC,['Rapidash'],"['Quick Attack', 'Growl', 'Tackle', 'Growl', 'Tail Whip', 'Ember', 'Tail Whip', 'Flame Wheel', 'Stomp', 'Growl', 'Flame Charge', 'Fire Spin', 'Take Down', 'Agility', 'Inferno', 'Agility', 'Fire Blast', 'Bounce', 'Fire Blast', 'Flare Blitz', 'Ally Switch', 'Captivate', 'Charm', 'Double Kick', ""Double'Edge"", 'Flame Wheel', 'High Horsepower', 'Horn Drill', 'Hypnosis', 'Low Kick', 'Morning Sun', 'Quick Attack', 'Thrash', 'Body Slam', 'Bounce', ""Double'Edge"", 'Endure', 'Flamethrower', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Low Kick', 'Mimic', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Headbutt', 'Curse', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Frustration', 'Solar Beam', 'Horn Drill', 'Iron Tail', 'Return', 'Body Slam', 'Take Down', ""Double'Edge"", 'Rage', 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Facade', 'Flame Charge', 'Secret Power', 'Swift', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Overheat', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Confide', 'Strength']"
77,Ponyta-Galarian,Psychic,410,50,85,55,65,65,90,1,No,No,,,,,,,,,,,,,,,,
78,Rapidash,Fire,500,65,100,70,80,80,105,1,No,No,True,True,,True,,,,,True,,True,,"['Flame Body', 'Flash Fire', 'Run Away']",PU,[],"['Quick Attack', 'Tackle', 'Growl', 'Ember', 'Tail Whip', 'Stomp', 'Fury Attack', 'Fury Attack', 'Poison Jab', 'Megahorn', 'Quick Attack', 'Growl', 'Quick Attack', 'Tail Whip', 'Ember', 'Growl', 'Tail Whip', 'Ember', 'Flame Wheel', 'Stomp', 'Growl', 'Flame Charge', 'Fire Spin', 'Take Down', 'Agility', 'Fire Blast', 'Inferno', 'Agility', 'Fury Attack', 'Agility', 'Fire Blast', 'Bounce', 'Fire Blast', 'Flare Blitz', 'Tackle', 'Ally Switch', 'Captivate', 'Charm', 'Double Kick', ""Double'Edge"", 'Flame Wheel', 'High Horsepower', 'Horn Drill', 'Hypnosis', 'Low Kick', 'Morning Sun', 'Quick Attack', 'Thrash', 'Body Slam', 'Bounce', ""Double'Edge"", 'Drill Run', 'Endure', 'Flamethrower', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Low Kick', 'Mimic', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Headbutt', 'Curse', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Horn Drill', 'Body Slam', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Rage', 'Mimic', 'Protect', 'Endure', 'Frustration', 'Solar Beam', 'Iron Tail', 'Return', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Facade', 'Flame Charge', 'Secret Power', 'Swift', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Overheat', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Smart Strike', 'Giga Impact', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Confide', 'Strength']"
78,Rapidash-Galarian,"Psychic, Fairy",500,65,100,70,80,80,105,1,No,No,,,,,,,,,,,,,,,,
79,Slowpoke,"Water, Psychic",315,90,65,65,40,40,15,1,No,No,True,True,True,,True,True,,,,True,,,"['Oblivious', 'Own Tempo', 'Regenerator']",LC,"['Slowbro', 'Slowking']","['Curse', 'Yawn', 'Tackle', 'Growl', 'Water Gun', 'Confusion', 'Disable', 'Headbutt', 'Amnesia', 'Water Pulse', 'Zen Headbutt', 'Slack Off', 'Growl', 'Water Gun', 'Amnesia', 'Psychic', 'Rain Dance', 'Psych Up', 'Heal Pulse', 'Belch', 'Belly Drum', 'Block', 'Future Sight', 'Me First', 'Mud Sport', 'Safeguard', 'Sleep Talk', 'Snore', 'Stomp', 'Wonder Room', 'Zen Headbutt', 'After You', 'Aqua Tail', 'Block', 'Body Slam', 'Dive', ""Double'Edge"", 'Dream Eater', 'Endure', 'Flamethrower', 'Headbutt', 'Ice Beam', 'Icy Wind', 'Iron Tail', 'Magic Coat', 'Mimic', ""Mud'Slap"", 'Nightmare', 'Psych Up', 'Recycle', 'Signal Beam', 'Skill Swap', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Trick', 'Water Pulse', 'Wonder Room', 'Zen Headbutt', 'Psyshock', 'Water Pulse', 'Calm Mind', 'Headbutt', 'Curse', 'Toxic', 'Body Slam', 'Take Down', ""Double'Edge"", 'Bubble Beam', 'Water Gun', 'Hail', 'Zap Cannon', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Ice Beam', 'Blizzard', 'Light Screen', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Telekinesis', 'Pay Day', 'Safeguard', 'Rage', 'Frustration', 'Iron Tail', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Psychic', 'Shadow Ball', ""Mud'Slap"", 'Teleport', 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Facade', 'Secret Power', 'Swift', 'Dream Eater', 'Skull Bash', 'Rest', 'Attract', 'Nightmare', 'Round', 'Echoed Voice', 'Scald', 'Incinerate', 'Skill Swap', 'Brine', 'Endure', 'Recycle', 'Flash', 'Thunder Wave', 'Psych Up', 'Bulldoze', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Psywave', 'Tri Attack', 'Substitute', 'Trick Room', 'Surf', 'Secret Power', 'Confide', 'Surf', 'Strength', 'Whirlpool', 'Flash', 'Dive']"
79,Slowpoke-Galarian,Psychic,315,90,65,65,40,40,15,1,No,No,,,,,,,,,,,,,,,,
80,Slowbro,"Water, Psychic",490,95,75,110,100,80,30,1,No,No,True,True,True,,True,True,,,,True,,,"['Oblivious', 'Own Tempo', 'Regenerator']",NU,[],"['Heal Pulse', 'Confusion', 'Disable', 'Headbutt', 'Curse', 'Yawn', 'Tackle', 'Growl', 'Water Gun', 'Withdraw', 'Withdraw', 'Heal Pulse', 'Curse', 'Yawn', 'Tackle', 'Growl', 'Growl', 'Water Gun', 'Confusion', 'Disable', 'Headbutt', 'Amnesia', 'Water Pulse', 'Zen Headbutt', 'Slack Off', 'Growl', 'Water Gun', 'Withdraw', 'Slack Off', 'Amnesia', 'Psychic', 'Rain Dance', 'Psych Up', 'Heal Pulse', 'Belch', 'Belly Drum', 'Block', 'Future Sight', 'Me First', 'Mud Sport', 'Safeguard', 'Sleep Talk', 'Snore', 'Stomp', 'Wonder Room', 'Zen Headbutt', 'After You', 'Aqua Tail', 'Block', 'Body Slam', 'Counter', 'Dive', ""Double'Edge"", 'Drain Punch', 'Dream Eater', 'Dynamic Punch', 'Endure', 'Flamethrower', 'Focus Punch', 'Foul Play', 'Fury Cutter', 'Headbutt', 'Ice Beam', 'Ice Punch', 'Icy Wind', 'Iron Defense', 'Iron Tail', 'Magic Coat', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Nightmare', 'Psych Up', 'Recycle', 'Seismic Toss', 'Signal Beam', 'Skill Swap', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Trick', 'Water Pulse', 'Wonder Room', 'Zen Headbutt', 'Psyshock', 'Focus Punch', 'Water Pulse', 'Calm Mind', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', ""Double'Edge"", 'Bubble Beam', 'Water Gun', 'Hail', 'Zap Cannon', 'Rock Smash', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Light Screen', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Telekinesis', 'Pay Day', 'Safeguard', 'Submission', 'Frustration', 'Iron Tail', 'Counter', 'Seismic Toss', 'Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Psychic', 'Shadow Ball', 'Brick Break', ""Mud'Slap"", 'Teleport', 'Mimic', 'Double Team', 'Flamethrower', 'Ice Punch', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Aerial Ace', 'Swift', 'Facade', 'Secret Power', 'Dream Eater', 'Skull Bash', 'Rest', 'Attract', 'Fury Cutter', 'Nightmare', 'Round', 'Echoed Voice', 'Skill Swap', 'Focus Blast', 'Scald', 'Brine', 'Fling', 'Incinerate', 'Endure', 'Drain Punch', 'Recycle', 'Giga Impact', 'Flash', 'Avalanche', 'Thunder Wave', 'Psych Up', 'Bulldoze', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Psywave', 'Tri Attack', 'Substitute', 'Trick Room', 'Surf', 'Secret Power', 'Rock Smash', 'Confide', 'Surf', 'Strength', 'Whirlpool', 'Flash', 'Rock Smash', 'Dive']"
80,Slowbro-Mega,"Water, Psychic",590,95,75,180,130,80,30,1,No,No,,,,,,,,,,,,,['Shell Armor'],UU,[],"['Heal Pulse', 'Confusion', 'Disable', 'Headbutt', 'Curse', 'Yawn', 'Tackle', 'Growl', 'Water Gun', 'Withdraw', 'Withdraw', 'Heal Pulse', 'Curse', 'Yawn', 'Tackle', 'Growl', 'Growl', 'Water Gun', 'Confusion', 'Disable', 'Headbutt', 'Amnesia', 'Water Pulse', 'Zen Headbutt', 'Slack Off', 'Growl', 'Water Gun', 'Withdraw', 'Slack Off', 'Amnesia', 'Psychic', 'Rain Dance', 'Psych Up', 'Heal Pulse', 'Belch', 'Belly Drum', 'Block', 'Future Sight', 'Me First', 'Mud Sport', 'Safeguard', 'Sleep Talk', 'Snore', 'Stomp', 'Wonder Room', 'Zen Headbutt', 'After You', 'Aqua Tail', 'Block', 'Body Slam', 'Counter', 'Dive', ""Double'Edge"", 'Drain Punch', 'Dream Eater', 'Dynamic Punch', 'Endure', 'Flamethrower', 'Focus Punch', 'Foul Play', 'Fury Cutter', 'Headbutt', 'Ice Beam', 'Ice Punch', 'Icy Wind', 'Iron Defense', 'Iron Tail', 'Magic Coat', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Nightmare', 'Psych Up', 'Recycle', 'Seismic Toss', 'Signal Beam', 'Skill Swap', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Trick', 'Water Pulse', 'Wonder Room', 'Zen Headbutt', 'Psyshock', 'Focus Punch', 'Water Pulse', 'Calm Mind', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Mega Kick', 'Toxic', 'Body Slam', 'Take Down', ""Double'Edge"", 'Bubble Beam', 'Water Gun', 'Hail', 'Zap Cannon', 'Rock Smash', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Light Screen', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Telekinesis', 'Pay Day', 'Safeguard', 'Submission', 'Frustration', 'Iron Tail', 'Counter', 'Seismic Toss', 'Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Psychic', 'Shadow Ball', 'Brick Break', ""Mud'Slap"", 'Teleport', 'Mimic', 'Double Team', 'Flamethrower', 'Ice Punch', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Aerial Ace', 'Swift', 'Facade', 'Secret Power', 'Dream Eater', 'Skull Bash', 'Rest', 'Attract', 'Fury Cutter', 'Nightmare', 'Round', 'Echoed Voice', 'Skill Swap', 'Focus Blast', 'Scald', 'Brine', 'Fling', 'Incinerate', 'Endure', 'Drain Punch', 'Recycle', 'Giga Impact', 'Flash', 'Avalanche', 'Thunder Wave', 'Psych Up', 'Bulldoze', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Dream Eater', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Psywave', 'Tri Attack', 'Substitute', 'Trick Room', 'Surf', 'Secret Power', 'Rock Smash', 'Confide', 'Surf', 'Strength', 'Whirlpool', 'Flash', 'Rock Smash', 'Dive']"
80,Slowbro-Galarian,"Poison, Psychic",490,95,100,95,100,70,30,1,No,No,,,,,,,,,,,,,,,,
81,Magnemite,"Electric, Steel",325,25,35,70,95,55,45,1,No,No,True,True,True,,True,True,True,True,True,True,,,"['Analytic', 'Magnet Pull', 'Sturdy']",LC,['Magneton'],"['Metal Sound', 'Tackle', 'Supersonic', 'Thunder Shock', 'Supersonic', 'Sonic Boom', 'Thunder Shock', 'Supersonic', 'Magnet Bomb', 'Thunder Wave', 'Magnet Bomb', 'Light Screen', 'Sonic Boom', 'Spark', 'Mirror Shot', ""Lock'On"", 'Swift', 'Magnet Bomb', 'Metal Sound', 'Electro Ball', 'Flash Cannon', ""Lock'On"", 'Screech', 'Discharge', 'Mirror Shot', ""Lock'On"", 'Magnet Rise', 'Gyro Ball', 'Magnet Bomb', 'Screech', 'Discharge', 'Mirror Shot', 'Magnet Rise', 'Gyro Ball', 'Zap Cannon', ""Double'Edge"", 'Electroweb', 'Endure', 'Gravity', 'Iron Defense', 'Magic Coat', 'Magnet Rise', 'Mimic', 'Recycle', 'Rollout', 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Thunderbolt', 'Curse', 'Rollout', 'Toxic', 'Take Down', ""Double'Edge"", 'Rage', 'Zap Cannon', 'Hidden Power', 'Snore', 'Sunny Day', 'Light Screen', 'Protect', 'Rain Dance', 'Endure', 'Frustration', 'Thunderbolt', 'Thunder', 'Teleport', 'Mimic', 'Return', 'Double Team', 'Swagger', 'Sleep Talk', 'Reflect', 'Shock Wave', 'Facade', 'Secret Power', 'Bide', 'Swift', 'Rest', 'Round', 'Thunder Wave', 'Charge Beam', 'Endure', 'Explosion', 'Recycle', 'Flash', 'Volt Switch', 'Thunder Wave', 'Gyro Ball', 'Psych Up', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash', 'Flash Cannon', 'Wild Charge', 'Secret Power', 'Confide']"
82,Magneton,"Electric, Steel",465,50,60,95,120,70,70,1,No,No,True,True,True,,True,True,True,True,True,True,,,"['Analytic', 'Magnet Pull', 'Sturdy']",UU,['Magnezone'],"['Zap Cannon', 'Electric Terrain', 'Metal Sound', 'Tackle', 'Sonic Boom', 'Tri Attack', 'Thunder Shock', 'Metal Sound', 'Tri Attack', 'Tackle', 'Zap Cannon', 'Electric Terrain', 'Tackle', 'Supersonic', 'Thunder Shock', 'Magnet Bomb', 'Sonic Boom', 'Thunder Wave', 'Supersonic', 'Thunder Shock', 'Electric Terrain', 'Supersonic', 'Sonic Boom', 'Magnet Bomb', 'Thunder Wave', 'Magnet Bomb', 'Light Screen', 'Sonic Boom', 'Spark', 'Mirror Shot', ""Lock'On"", 'Swift', 'Magnet Bomb', 'Metal Sound', 'Electro Ball', ""Lock'On"", 'Magnet Bomb', 'Tri Attack', 'Flash Cannon', 'Screech', 'Discharge', ""Lock'On"", 'Mirror Shot', 'Magnet Rise', 'Gyro Ball', 'Zap Cannon', 'Swift', ""Double'Edge"", 'Electroweb', 'Endure', 'Gravity', 'Iron Defense', 'Magic Coat', 'Magnet Rise', 'Mimic', 'Recycle', 'Rollout', 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Thunderbolt', 'Curse', 'Rollout', 'Toxic', 'Take Down', ""Double'Edge"", 'Zap Cannon', 'Hidden Power', 'Snore', 'Sunny Day', 'Hyper Beam', 'Rage', 'Light Screen', 'Protect', 'Rain Dance', 'Endure', 'Frustration', 'Thunderbolt', 'Thunder', 'Teleport', 'Mimic', 'Return', 'Double Team', 'Swagger', 'Sleep Talk', 'Reflect', 'Shock Wave', 'Facade', 'Secret Power', 'Bide', 'Swift', 'Rest', 'Round', 'Thunder Wave', 'Charge Beam', 'Endure', 'Explosion', 'Recycle', 'Giga Impact', 'Flash', 'Volt Switch', 'Thunder Wave', 'Gyro Ball', 'Psych Up', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash', 'Flash Cannon', 'Wild Charge', 'Secret Power', 'Confide']"
83,Farfetch'd,"Normal, Flying",377,52,90,55,58,62,60,1,No,No,True,True,True,True,,,,,,,,,"['Defiant', 'Inner Focus', 'Keen Eye']",PU,[],"['Brave Bird', 'Peck', 'Poison Jab', 'Peck', 'Sand Attack', 'Leer', 'Fury Cutter', 'Fury Attack', 'Knock Off', 'Fury Cutter', 'Aerial Ace', 'Knock Off', 'Slash', 'Air Cutter', 'Swords Dance', 'Agility', 'Slash', 'Night Slash', 'Air Slash', 'Acrobatics', 'Feint', 'False Swipe', 'Air Slash', 'Brave Bird', 'Covet', 'Curse', 'Feather Dance', 'Final Gambit', 'First Impression', 'Flail', 'Foresight', 'Gust', 'Leaf Blade', 'Mirror Move', ""Mud'Slap"", 'Night Slash', 'Quick Attack', 'Revenge', 'Roost', 'Simple Beam', 'Steel Wing', 'Trump Card', 'Air Cutter', 'Body Slam', 'Covet', ""Double'Edge"", 'Endure', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Helping Hand', 'Iron Tail', 'Knock Off', 'Last Resort', 'Mimic', ""Mud'Slap"", 'Ominous Wind', 'Psych Up', 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Tailwind', 'Twister', 'Uproar', 'Headbutt', 'Curse', 'Razor Wind', 'Swords Dance', 'Whirlwind', 'Work Up', 'Toxic', 'Psych Up', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Roost', 'Body Slam', 'Frustration', 'Iron Tail', 'Return', ""Mud'Slap"", 'Take Down', ""Double'Edge"", 'Rage', 'Mimic', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Swift', 'Detect', 'Skull Bash', 'Rest', 'Attract', 'Thief', 'Round', 'Steel Wing', 'Roost', 'False Swipe', 'Brutal Swing', 'Endure', 'Acrobatics', 'Retaliate', 'Swords Dance', 'Fly', 'Psych Up', 'Work Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Swagger', 'Sleep Talk', 'Pluck', ""U'turn"", 'Substitute', 'Secret Power', 'Confide', 'Cut', 'Fly', 'Defog']"
83,Farfetch'd-Galarian,Fighting,377,52,95,55,58,62,55,1,No,No,,,,,,,,,,,,,,,,
84,Doduo,"Normal, Flying",310,35,85,45,35,35,75,1,No,No,True,True,True,,,,,True,,,,,"['Early Bird', 'Run Away', 'Tangled Feet']",LC,['Dodrio'],"['Peck', 'Growl', 'Pursuit', 'Quick Attack', 'Rage', 'Fury Attack', 'Tri Attack', 'Rage', 'Pursuit', 'Drill Peck', 'Rage', 'Tri Attack', 'Uproar', 'Pluck', 'Double Hit', 'Agility', 'Uproar', 'Acupressure', 'Swords Dance', 'Jump Kick', 'Agility', 'Drill Peck', 'Uproar', 'Double Hit', 'Agility', 'Drill Peck', 'Endeavor', 'Thrash', 'Assurance', 'Brave Bird', 'Endeavor', 'Feint Attack', 'Flail', 'Haze', 'Mirror Move', 'Natural Gift', 'Quick Attack', 'Supersonic', 'Air Cutter', 'Body Slam', ""Double'Edge"", 'Endeavor', 'Endure', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Uproar', 'Whirlwind', 'Curse', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Roost', 'Body Slam', 'Frustration', 'Return', ""Mud'Slap"", 'Take Down', ""Double'Edge"", 'Rage', 'Mimic', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Swift', 'Reflect', 'Bide', 'Skull Bash', 'Sky Attack', 'Rest', 'Tri Attack', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Work Up', 'Steel Wing', 'Swords Dance', 'Fly', 'Roost', 'Endure', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Secret Power', 'Confide', 'Fly']"
85,Dodrio,"Normal, Flying",470,60,110,70,60,60,110,1,No,No,True,True,True,,,,,True,,,,,"['Early Bird', 'Run Away', 'Tangled Feet']",NU,[],"['Peck', 'Growl', 'Pursuit', 'Fury Attack', 'Pursuit', 'Pluck', 'Tri Attack', 'Tri Attack', 'Peck', 'Growl', 'Quick Attack', 'Rage', 'Quick Attack', 'Rage', 'Fury Attack', 'Pursuit', 'Uproar', 'Pluck', 'Double Hit', 'Agility', 'Uproar', 'Tri Attack', 'Rage', 'Acupressure', 'Drill Peck', 'Rage', 'Swords Dance', 'Jump Kick', 'Agility', 'Drill Peck', 'Tri Attack', 'Uproar', 'Agility', 'Drill Peck', 'Agility', 'Endeavor', 'Thrash', 'Double Hit', 'Assurance', 'Brave Bird', 'Endeavor', 'Feint Attack', 'Flail', 'Haze', 'Mirror Move', 'Natural Gift', 'Quick Attack', 'Supersonic', 'Air Cutter', 'Body Slam', ""Double'Edge"", 'Endeavor', 'Endure', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Uproar', 'Whirlwind', 'Curse', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Body Slam', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Rage', 'Mimic', 'Protect', 'Endure', 'Roost', 'Frustration', 'Return', ""Mud'Slap"", 'Double Team', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Swift', 'Reflect', 'Bide', 'Skull Bash', 'Sky Attack', 'Rest', 'Tri Attack', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Steel Wing', 'Roost', 'Endure', 'Payback', 'Giga Impact', 'Work Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swords Dance', 'Fly', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Secret Power', 'Confide', 'Fly']"
86,Seel,Water,325,65,45,55,45,70,45,1,No,No,True,True,,,True,,True,,,,,,"['Hydration', 'Ice Body', 'Thick Fat']",LC,['Dewgong'],"['Headbutt', 'Growl', 'Aurora Beam', 'Water Sport', 'Icy Wind', 'Encore', 'Ice Shard', 'Rest', 'Aqua Ring', 'Aurora Beam', 'Aqua Jet', 'Brine', 'Rest', 'Take Down', 'Dive', 'Aqua Tail', 'Ice Beam', 'Safeguard', 'Hail', 'Belch', 'Disable', 'Encore', 'Entrainment', 'Fake Out', 'Horn Drill', 'Icicle Spear', 'Iron Tail', 'Lick', 'Peck', 'Perish Song', 'Signal Beam', 'Slam', 'Sleep Talk', 'Spit Up', 'Stockpile', 'Swallow', 'Water Pulse', 'Aqua Tail', 'Body Slam', 'Dive', ""Double'Edge"", 'Drill Run', 'Endure', 'Headbutt', 'Ice Beam', 'Icy Wind', 'Iron Tail', 'Mimic', 'Signal Beam', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Water Pulse', 'Water Pulse', 'Headbutt', 'Curse', 'Toxic', 'Hail', 'Horn Drill', 'Hidden Power', 'Snore', 'Body Slam', 'Take Down', ""Double'Edge"", 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Icy Wind', 'Protect', 'Rain Dance', 'Safeguard', 'Endure', 'Frustration', 'Return', 'Pay Day', 'Rage', 'Mimic', 'Double Team', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Bide', 'Skull Bash', 'Rest', 'Attract', 'Thief', 'Brine', 'Round', 'Echoed Voice', 'Fling', 'Smart Strike', 'Endure', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Whirlpool', 'Strength', 'Waterfall', 'Secret Power', 'Confide', 'Surf', 'Waterfall', 'Dive']"
